name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Diego Caplan's grandmother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Dietrich Frenzen,Male,['Quidditch referee'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Digby Dankworth,Male,['Department of Magical Maintenance employee (possibly)'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Dilys Derwent,Female,"['Healer', 'Head of Hogwarts']",,,Human,,,,,,master,,,,,[],"['Healer', 'Professor', 'Head of Hogwarts School of Witchcraft and Wizardry']",,,,,,,,,
Dilys Llewellyn,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Dimitar Draganov,Male,['Beater for the Bulgarian National Quidditch team'],,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Dinah Stevenson,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Dishevelled Wizard,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Distractible Douglas,Male,[],,,Human,,,,,,master,,,,,['Dougie'],[],,,,,,,,,
Distractible Douglas's father,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
DJ Martha,Female,['Disc jockey'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Unidentified witness (II),Male,['Barmen in Kent'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boy who owned a magic hamster's mother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Violeta Stitch,Female,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Emeric Switch,Male,['Author'],,,Human,,,,,,master,,,,,[],['Professor'],,,,,,,,,
Wendy Wunderwind,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Albert Jorkins,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alberto Macellarius,Male,['Con artist'],,,Human,,,,,,master,,,,,['The Rat'],[],,,,,,,,,
Albert Perschky,Male,['Apparition Examiner'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Albert Tillyman,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Albie Weekes,Male,['Broom vendor at Spintwitches Sporting Needs'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wheatshoot,Male,[],,,Kneazle,,,,,,master,,,,,[],[],,,,,,,,,
Albino peacock,Male,[],,,Peacock,,,,,,master,,,,,[],[],,,,,,,,,
Westenberg,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Werewolf Capture Unit mentor,Female,['Employee of the Werewolf Capture Unit'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wensley Dollamott,Male,[],,,Human,,,,,,master,,,,,[],['Sir'],,,,,,,,,
Wénshī Scrivenshaft's father,Male,"[""Shopkeeper of Scrivenshaft's Quill Shop""]",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alejandra Alonso,Female,['Chaser for the Brazilian National Quidditch team'],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Alice,Female,"['Fickle Fabrics employee', 'Gladrags Wizardwear employee (temporarily)']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexandra Ricketts,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexandra Rokonski,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wendy Slinkhard,Female,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexandra Walker,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexei Levski,Male,['Chaser for the Bulgarian National Quidditch team (formerly)'],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Wendelin the Weird,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alfred,Male,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Alfred Lawley,Male,['Herbologist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alfred Nettle,Male,['Shopkeeper of the Apothecary'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alguff the Awful,Male,['Commercialist'],,,Goblin,,,,,,master,,,,,[],[],,,,,,,,,
Albert Gibbering Stump,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alberta Toothill,Female,['Professional Duellist'],,,Human,,,,,,master,,,,,[],['Duelling Champion'],,,,,,,,,
Alberic Grunnion,Male,['Inventor'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Albanian peasant,,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Aged witch,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agilbert Fontaine,Male,['Headmaster of Ilvermorny School of Witchcraft and Wizardry (c. 2016)'],,,Human,,,,,,master,,,,,[],"['Headmaster', 'Professor']",,,,,,,,,
Wigby,Male,['Hogwarts kitchens worker'],,,House-elf,,,,,,master,,,,,['Dessert Master'],[],,,,,,,,,
Agnes,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agnes Coffey,Female,"['Fashion model', 'Garment seller']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agnes Nutt,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agnes Scribner,Female,['Hogwarts librarian'],,,Human,,,,,,master,,,,,[],['Head Librarian'],,,,,,,,,
Agnes's son,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agnes the Accursed,Female,['Potioneer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aidan Kiely,Male,['Seeker of the Kenmare Kestrels'],,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Aidan Lynch,Male,['Seeker for the Irish National Quidditch team'],,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Aidan Sprottle,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aisha,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aisha Masika,Female,[],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Aisha's mother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Akshay Khan,Male,['Chaser for the Indian National Quidditch team'],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Alain Lacroix,Male,['Beater for the French National Quidditch team'],,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
White-Haired Healer,Female,['Healer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alanza Alves's grandmother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alasdair Maddock,Male,['Chaser for the Montrose Magpies (formerly)'],,,Human,,,,,,master,,,,,[],['Chaser (formerly)'],,,,,,,,,
Alastair,Male,[],,,Spider,,,,,,master,,,,,[],[],,,,,,,,,
Alastor Gumboil,Male,['Hit Wizard'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Beautification Potion,,,,,,,,,,,master,,,Enhances the attractiveness of the drinker's physical appearance,"Changes colour, Emits multi-colour bubbles",,,,,,Moderate,"Zygmunt Budge, Sacharissa Tugwood","Fairy wings, Morning dew, Rose Petals, Lady's Mantle, Unicorn hair, Ginger roots, Boomslang skin",,,
Ali Bashir,Male,['Saleswizard'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Boy who kept a bezoar in his pocket's brother,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angelus Peel,Male,['Seeker for the Canadian National Quidditch team'],,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Ananya Gopal,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ancient African sorcerer,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Weasley family ghoul,Male,[],,,Ghoul,,,,,,master,,,,,['Ronald Weasley'],[],,,,,,,,,
Andray Nembhard,Male,['Beater for the Jamaican National Quidditch team'],,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Andre Egwu's grandmother,Female,['Quidditch player for the Pride of Portree'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Andre Egwu's parents,"Female, Male",[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Andre Egwu's sister,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Weasley family chickens,"Females, Males",[],,,Chickens,,,,,,master,,,,,[],[],,,,,,,,,
Andy Smudgley,Male,['Reporter for the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angelus Moriattis,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angry wizard,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aliko Okoye,Female,['Beater for the Nigerian National Quidditch team'],,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Angus,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus Buchanan's father,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus Buchanan's mother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus Campbell,Male,['Chaser for the Montrose Magpies'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus McKinnon,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus McMangus,Male,[],,,Human,,,,,,master,,,,,['Angry Angus McMangus'],[],,,,,,,,,
Angus Sweeting,Male,['Wizard poacher'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anna Wriothesley,Female,['Professional Quidditch player'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anne Boleyn,Female,[],,,Human,,,,,,master,,,,,[],"['Lady Anne Boleyn', 'Marquess of Pembroke', 'Queen Consort of England']",,,,,,,,,
Anne Limonne,Female,['Writer for Le Cri de la Gargouille'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Annis Black,Female,[],,,Hag,,,,,,master,,,,,[],[],,,,,,,,,
Ana de Lebron,Female,['Chaser for the Spanish National Quidditch team'],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Anabelle,Female,[],,,"Human (formerly), Ghost",,,,,,master,,,,,[],[],,,,,,,,,
Anabel Calhoun,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amrose Swott,Male,['Head of Hogwarts School of Witchcraft and Wizardry (formerly)'],,,"Human, Ghost (possibly)",,,,,,master,,,,,['Ambrose Swott'],"['Professor', 'Head of Hogwarts School of Witchcraft and Wizardry']",,,,,,,,,
Alison Denbright,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alistair Ballcocke,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alistair Darling,Male,['Chancellor of the Exchequer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alistaire Ballcocke,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alistair Fidgen,Male,[],,,Human,,,,,,master,,,,,['Old Al (by Jae Kim)'],[],,,,,,,,,
Almeric Sawbridge,Male,['Troll hunter'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wu Han Po,Male,[],,,Human,,,,,,master,,,,,['Silver Dragon'],[],,,,,,,,,
Alphonso Frederique Ringbloom,Male,[],,,Human,,,,,,master,,,,,['The Voice of Hogwarts'],[],,,,,,,,,
Althea Twiddle,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Altheda,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amali,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amali's daughter,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amarillo Lestoat,Male,['Author'],,,Vampire,,,,,,master,,,,,[],[],,,,,,,,,
Amata,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amata's lover,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ambrose Turner,Male,['Artist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ambrosius Flume,Male,['Co-owner of Honeydukes'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amelia Bones's assistant,Male,['Assistant to Amelia Bones in the Department of Magical Law Enforcement'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wulf Kauendessen,Male,['Chef'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amir,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amit Thakkar's parents,"Male, Female",[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Amorette Deneuve,Female,"['Author, expert on Love']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Amos Hopkins,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aged Goblin,Male,['Banker at Gringotts Wizarding Bank'],,,Goblin,,,,,,master,,,,,[],[],,,,,,,,,
Agatha Timms,Female,['Eel farmer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Agatha Haggarty,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winifred Whittle,Female,['Environmental Activist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winston's niece,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winston,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winky's mother,Female,['Servant of the Crouch family'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Winky's grandmother,Female,['Servant of the Crouch family'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Winky Crockett,,[],Slytherin,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Winky Crocket,,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winky,Female,"[""Crouch family's house-elf (formerly)"", 'Hogwarts kitchens worker']",,,House-elf,,,,,,master,,,,,"['Blinky (by Percy Weasley)', 'Elf (by Amos Diggory)']",['Free elf'],,,,,,,,,
Memory Potion,,,,,,,,,,,master,,,Enhanced the drinker's memory,Golden in colour,,,,,,Advanced,,"Jobberknoll feathers, Stewed Mandrake, Powdered Sage, Galanthus Nivalis, Alihotsy, Peppermint, Eel eyes",,Two minutes and fifteen seconds,
Winkus Oddpick,Male,['Columnist for the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Winkle,Male,['Hogwarts kitchens worker'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Winifred Haywood,Female,['Potioneer'],,,Human,,,,,,master,,,,,"['Gran', 'Granny Haywood']",[],,,,,,,,,
Agatha Chubb,Female,['Ancient Wizarding Artefacts Researcher'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Invigoration Draught,,,,,,,,,,,master,,,Energised the drinker,Orange or blue in colour,,,,,,Ordinary Wizarding Level,,"Alihotsy leaves, Dried billywig stings, Peppermint, Stewed Mandrake, Infusion of Wormwood, Honeywater, Vervain infusion, Scurvy grass, Lovage, Standard potioning water",,Three hours,
Winged St Mungo's patient,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Healing Potion,,,,,,,,,,,master,,,"Healing, replenishes lost health and stamina to the drinker",Blood red in colour,,,,,,Beginner,,"Wormwood, Bubotuber pus, Dittany, Dragon liver, Unicorn tail hair, Standard potioning water",,Two hours,
Willy Widdershins,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Willy Wagstaff,Male,['Street vendor in Diagon Alley'],,,Human,,,,,,master,,,,,"[""'Honest' Willy""]",[],,,,,,,,,
Willi Wenzel,Male,['Chaser for the Liechtenstein National Quidditch team'],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Grand Pepperup Potion,,,,,,,,,,,master,,,Relieved and/or cured cold symptoms,Red in colour,,,,,,,Glover Hipworth (possibly),"Octopus Powder, Bicorn horn, Mandrake Root",Caused steam to come out of the drinker's ears for a few hours,,
Williamson,Male,['Auror'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Williams,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Fire-Protection Potion,,,,,,,,,,,master,,,Protects drinker from fire,Blue in colour,,,,,,Beginner,,"Bursting mushrooms, Salamander blood, Wartcap powder",Sensation of ice flooding body,,
Exstimulo Potion,,,,,,,,,,,master,,,Increased the spell power of a single spell cast,Sky blue in colour,,,,,,Beginner,,"Re'em blood, Granian hair, Snowdrop, Bitter root",,Two hours,
Wiseacre's Wizarding Equipment employee,Male,"[""Employee at Wiseacre's Wizarding Equipment""]",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Witch and Wizard Couple,"Male, Female",[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Witch in Bath,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Witch who stole the Helmet of Urtkot,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wool woman,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wool,,"[""Owner of Wool's Orphanage""]",,,Human,Muggle (possibly),,,,,master,,,,,[],"[""Owner of Wool's Orphanage""]",,,,,,,,,
Wooby,Male,['Hogwarts kitchens worker'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Vitamix Potion,,,,,,,,,,,master,,,Burst of energy,Blue in colour,,,,,,Beginner,,"Infusion of wormwood, Powdered root of asphodel, Monkshood",Unfortunate but unknown,,
Wladyslaw Wolfke,Male,['Seeker for the Polish National Quidditch team'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Tonic for Trace Detection,,,,,,,,,,,master,,,Increased mental perception of Trace magic in the world,Pink in colour,,,,,,Beginner,,"Baneberry, Bulbadox juice, Angel's Trumpet, Erumpent horn",,Seven hours,
Wizard with top hat,Male,['Vendor'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard who read A Brief History of Time,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard who killed a Chimaera,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard who claimed to have flown to the Moon,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Strong Invigoration Draught,,,,,,,,,,,master,,,Significantly boosts the energy and focus of the drinker,Fiery orange in colour,,,,,,Advanced,,"Honeywater, Vervain infusion, Scurvy grass, Sneezewort",,Six hours,
Strong Exstimulo Potion,,,,,,,,,,,master,,,Strongly boosted the spell-casting power of the drinker for four spell casts,Electric blue in colour,,,,,,Beginner,,"Bitter root, Snowdrop, Abraxan hair, Re'em blood",,Four hours,
Wizard who claimed to be a Vampire Hunter,Male,['Vampire Hunter (claimed)'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Strengthening Solution,,,,,,,,,,,master,,,Superhuman strength,Turquoise in colour,,,,,,Beginner to advanced,,"Salamander blood, Powdered Griffin claw",,Two days,
Wizard who claimed to be a dragon killer,Male,"['British Ministry of Magic (claimed)Committee for the Disposal of Dangerous Creatures (claimed)', 'Committee for the Disposal of Dangerous Creatures (claimed)', 'Dishwasher at the Leaky Cauldron']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard's father,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard in plus-fours,Male,['Obliviator'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wizard in Knockturn Alley,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Skele-Gro,,,,,,,,,,,master,,,Restored bones,"Smoked when poured, Vile taste, Burned on the way down, Yellow in colour",,,,,,Moderate,Linfred of Stinchcombe (original version),"1 Chinese Chomping Cabbage, 3 puffer-fish, 5 scarab beetles, 1 Fanged Geranium, 1 arm bone, 1 red spider",,,
Wizard from Belgium,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Scintillation Solution,,,,,,,,,,,master,,,Could make objects shine,"Turquoise in colour, Sparkling upon completion",,,,,,Advanced,,"Powdered unicorn horn, Runespoor eggs, Oil",,Two hours and fifty minutes,
Wizard,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Witch with a hairy chin,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
William Fricker,Male,['Leitende Strafvollzugsbeamte'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
William de Cognac,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Elixir to Induce Euphoria,,,,,,,,,,,master,,,Induces happiness,"Sunshine yellow in colour, Emits rainbow when finished",,,,,,Advanced,,"Shrivelfig, Porcupine quills, Peppermint sprigs, Sopophorous beans, Wormwood","Excessive singing, Nose-tweaking",,
Abraham Peasegood,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Abraham Ronen's father,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilfred Kidd Senior,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilfred Elphick,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wild Hippocampus herd,Various,[],,,Hippocampi,,,,,,master,,,,,[],[],,,,,,,,,
Achilles Tolliver,Male,['Auror'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ackley Barnes,Male,"['Thief', 'Businessman']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilda Griffiths,Female,"['Chaser for the Holyhead Harpies (formerly)', 'Chaser for Puddlemere United']",,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Wilbert Slinkhard,Male,"['Author', 'Theoretician']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Actor who played Crapaud,Male,['Actor'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Actor who played Grenouille,Male,['Actor'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ada,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adalbert Waffling,Male,"['Author', 'Magical Theoretician']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adam Arterius,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adda,Male,['Caretaker of Eden (formerly)'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adelaide Oakes's mother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adelaide P. Poppington,Female,['Chief Regulatory Authority'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wigot Spitchwick,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adrian,Male,['Photographer at the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Adrian Tutley,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wiggins,Female,['Trainee Healer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Affpuddle,Male,[],,,Human,,,,,,master,,,,,['Waving Knight'],['Sir'],,,,,,,,,
Agabus Philbert,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilfred the Wistful,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Abraham Leslie McCracken,Male,['Captain'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
William,Male,['Caretaker at Ilvermorny School of Witchcraft and Wizardry'],,,Pukwudgie,,,,,,master,,,,,[],[],,,,,,,,,
Wilhelm Fischer,Male,['Auror'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Doxycide,,,,,,,,,,,master,,,Temporarily stunned Doxies so that the pests could be removed from a home,"Black in colour, Typically delivered as a spray",,,,,,Moderate,Zygmunt Budge,"Bundimun Ooze, Streeler shells, Dragon liver, Hemlock essence, Tormentil tincture, Cowbane essence",,,
Willa Weholt's mother,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Willa Weholt's brother,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Cure for Boils,,,,,,,,,,,master,,,Removes boils,"Blue in colour, Emits pink smoke when completed",,,,,,Beginner,,"6 snake fangs, 4 horned slugs, 2 porcupine quills, Dried nettles, Pungous Onions, Flobberworm Mucus, Ginger root, Shrake spines",Caused nasty boils to erupt on skin if brewed badly,,
Will,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilkie Twycross,Male,"['British Ministry of Magic employee', 'Apparition Instructor']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
1980s Hogwarts Gobstones Tournament champion's parents,"Male, female",[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilhemina Twigge,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
2-Headed Baby,Male (most likely),['Circus performers'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilhelm Wigworthy,Male,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wilhelmina Magat Farrell,Female,['Co-owner of Uncommon Creatures Pet Shop'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
A. Béliveau,Female,['Perfumier'],,,Human,,,,,,master,,,,,[],['Mademoiselle'],,,,,,,,,
Abel Treetops,Male,['Con artist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Calming Draught,,,,,,,,,,,master,,,Calms the drinker,Blue or brown in colour,,,,,,Moderate to Advanced,,"Lavender, Crocodile heart, Peppermint","Unpleasant results if consumed by certain animals, Burning mouth sensation, watery eyes or uncontrollable sobbing if too much peppermint oil added",,
Abernathy,Male,['Supervisor for the Wand Permit Office (formerly)'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Abigail R. Cankus,Female,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Able Fleming,Male,['President of the Magical Congress of the United States of America (c. 1770s-?)'],,,Human,,,,,,master,,,,,[],['President'],,,,,,,,,
Able Spudmore,Male,['Broom-maker'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Abraham,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Antioch Peverell's enemy,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Antioch Peverell's killer,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Antipodean Opaleye,Female,[],,,Dragon,,,,,,master,,,,,[],[],,,,,,,,,
Bernard Ndiaye's daughters,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Belmont,Female,['Contortionist'],,,Human,,,,,,master,,,,,['The elastic woman'],[],,,,,,,,,
Benedita Dourado,Female,['Headmistress of Castelobruxo (c. 1940s/50s)'],,,Human,,,,,,master,,,,,[],['Headmistress'],,,,,,,,,
Bengt Persson,Male,['Beater for the Swedish National Quidditch team'],,,Human,,,,,,master,,,,,[],['Beater'],,,,,,,,,
Virginia,Female,['Puppeteer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Benjamin Slater,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Benjy Fenwick,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Benjy Williams,Male,['Seeker for Puddlemere United'],,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Bennett Burgess,Male,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bernadette,Female,['Executioner for the Magical Congress of the United States of America'],,,Human,,,,,,master,,,,,[],['Executioner'],,,,,,,,,
Bernadette Beauchene,Female,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bernard Ndiaye,Male,['Shop owner'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bernie,Male,['British Ministry of Magic employee'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Barry Ryan,Male,['Keeper for the Irish National Quidditch team (formerly)'],,,Human,,,,,,master,,,,,[],['Keeper'],,,,,,,,,
Bertha Jorkins,Female,"['Department of International Magical Co-operation employee (formerly)', 'Department of Magical Games and Sports employee']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
