name,gender,job,house,wand,patronus,species,blood_status,hair_colour,eye_colour,loyalty,skills,birth,death,known_ingredients,effect,characteristics,difficulty_level,incantation,type,light,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,category,creator,hand,difficulty,inventors,ingredients,manufacturers,side_effects,time
Maxina,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,maxina,[],,,Between 1 September 1996 and 31 August 1997,,Brown,[],Brown,,[],,British or Irish,[],Olive,[],[],,,,,,,,,,
Maxine O'Flaherty,Female,,Hufflepuff,,,Human,,,,,,,,,,,,,,,maxine-o-flaherty,[],,,31 August 1982 or earlier,,Green,"[""Ortiz O'Flaherty (possible relative)""]",Black,,[],,British or Irish,[],White,['Beater'],[],,,,,,,,,,
Maxwell,Male,,,,,Human,,,,,,,,,,,,,,,maxwell,[],,,,,,[],,,"[""Worker at Fleury's Fancy Fauna (formerly)""]",,,[],,[],[],,,,,,,,,,
Maxwell Barnett,Male,,,,,Human,,,,,,,,,,,,,,,maxwell-barnett,[],,,,,,['Celia Barnett (possibly)'],,,['Author'],,,[],,[],[],,,,,,,,,,
Maxwell Lazenby,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,maxwell-lazenby,[],,,31 August 1982 or earlier,,Green,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Maxwell Lima,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,maxwell-lima,[],,,,,,[],,,['Author'],,American,[],,[],[],,,,,,,,,,
Mayer,,,,,,Human,No-Maj,,,,,,,,,,,,,,mayer,[],,,1905 or earlier,,,[],,,['Detective'],,American,[],,[],[],,,,,,,,,,
Maynard Hatton,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,maynard-hatton,[],,,31 August 1982 or earlier,,Brown,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Mazoni,Male,,,,,Human,,,,,,,,,,,,,,,mazoni,[],,,,,,[],,,['Professor at Hogwarts School of Witchcraft and Wizardry'],,,[],,['Professor'],[],,,,,,,,,,
M. Carneiro,,,,,,Human,Muggle,,,,,,,,,,,,,,m-carneiro-muggle,[],,,,,,[],,,"['Stage director', 'Production designer']",,,[],,[],[],,,,,,,,,,
M. Carneiro,,,,,,Human,,,,,,,,,,,,,,,m-carneiro-wizard,[],,,,,,[],,,['Author'],,,[],,[],[],,,,,,,,,,
M. Carneirus,,,,,,Human,,,,,,,,,,,,,,,m-carneirus-american,[],,,,,,"['M. P. N. Carneirus (possibly)', 'M. P. Carneirus (possibly)', 'Mauricios Carneirus (possibly)', 'M. Carneirus (British) (possibly)', 'Cas Carneirus (possibly)', 'Carneirus family']",,,['Business and finance reporter for The New York Ghost'],,,[],,[],[],,,,,,,,,,
McClaggan,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,mcclaggan,[],,,31 August 1916 or earlier,,,"['Cormac McLaggen (possible grandson)', 'Mr McLaggen (possible son)', 'Tiberius (possible son)', 'Tasmina McLaggen (possibly)', 'McLaggen family (possibly)']",,,[],,British or Irish,[],,[],"['Unknown length, wood and core']",,,,,,,,,,
McClaggan's friend,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,mcclaggan-s-friend,[],,,31 August 1916 or earlier,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
McGonagall family cat,,,,,,Cat,,,,,,,,,,,,,,,mcgonagall-family-cat,[],,,,,,['McGonagall family (owners)'],,,[],,,[],,[],[],,,,,,,,,,
McKague,,,,,,Human,,,,,,,,,,,,,,,mckague,[],,,,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
M. Crenshaw Jnr,,,,,,Human,,,,,,,,,,,,,,,m-crenshaw-jnr,[],,,Before 1926,,,[],,,[],,American,[],,[],[],,,,,,,,,,
Meaghan McCormack,Female,,,,,Human,Half-blood or pure-blood (possibly),,,,,,,,,,,,,,meaghan-mccormack,[],,,,,,"['Catriona McCormack (mother)', 'Kirley Duke (brother)', 'McCormack family']",,,[],,,[],,['Keeper'],[],,,,,,,,,,
Medb O'Sullivan,Female,,Gryffindor,,,Human,,,,,,,,,,,,,,,medb-o-sullivan,[],,,Between 1 September 1992 and 31 August 1993,,Green,[],Auburn,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Medusa,,,,,,Human,,,,,,,,,,,,,,,medusa,[],,,,,,[],,,['Advice columnist for the Daily Prophet (possibly)'],,,[],,['Doctor'],[],,,,,,,,,,
Meegans Robienson,Female,,,,,Human,,,,,,,,,,,,,,,meegans-robienson,[],,,Before 1980,,,[],,,['Investigator for the Department for the Regulation and Control of Magical Creatures'],,,[],,[],[],,,,,,,,,,
Mégane Hélène C,Female,,,,,Human,,,,,,,,,,,,,,,megane-helene-c,[],,,Before the 1920s,,,[],,,"[""Champion Seeker of the Club de supporters de l'équipe Quafflepuncher de Quiberion""]",,French,[],,[],[],,,,,,,,,,
Megan Jones,Female,,Hufflepuff,,,Human,Half-blood,,,,,,,,,,,,,,megan-jones,[],,,"Between 1 September 1979 and 31 August 1980, Great Britain",,,"['Hestia Jones (possible relative)', 'Gwenog Jones (possible relative)', 'Peter Jones (possible relative)', 'Jones family']",,,[],,British or Irish,[],,[],[],,,,,,,,,,
Megan Rowstock,Female,,Slytherin,,,Human,,,,,,,,,,,,,,,megan-rowstock,[],,,31 August 1982 or earlier,,Green,[],Blonde,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Megan Scott,Female,,,,,Human,Muggle,,,,,,,,,,,,,,megan-scott,[],,,,,Green,['Catherine Tyler (grandmother) †'],"Green, Ginger (formerly)",,[],,British,[],Light,[],[],,,,,,,,,,
Megnum,Female,,,,,Human,,,,,,,,,,,,,,,megnam,[],,,Before 1503,,,[],,,"[""Owner of Madam Megnam's Hair Products of London (Presumably)""]",,British,[],,[],[],,,,,,,,,,
Melania Black (née Macmillan),Female,,,,,Human,Pure-blood,,,,,,,,,,,,,,melania-macmillan,[],,,Before 1925,In or before 1995,,"['Arcturus Black (III) (husband) †', 'Lucretia Prewett (née Black) (daughter) †', 'Orion Black (son) †', 'Sirius Black (II) (father-in-law) †', 'Hesper Black (née Gamp) (mother-in-law)', 'Lycoris Black (sister-in-law) †', 'Regulus Black (I) (brother-in-law) †', 'Ignatius Prewett (son-in-law)', 'Walburga Black (daughter-in-law) †', 'Sirius Black (grandson) †', 'Regulus Black (grandson) †', 'Pippa Macmillan (possibly)', 'Ernest Macmillan (possibly)', 'Macmillan family', 'House of Black']",,,[],Married or widowed,,['Arcturus Black (III) (husband) †'],,[],[],,,,,,,,,,
Melanie Stanmore,Female,,Gryffindor,,,Human,,,,,,,,,,,,,,,melanie-stanmore,[],,,31 August 1982 or earlier,,Green,[],Blonde,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Melinda Bobbin,Female,,,,,Human,Pure-blood or half-blood (likely),,,,,,,,,,,,,,melinda-bobbin,[],,,Between  1 September 1978 and 31 August 1985 (most likely),,,['Bobbin family'],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Melissa,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,melissa,[],,,Between 1 September 1990 and 31 August 1996,,Blue,[],Grey,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Mellona Flume,Female,,,,,Human,Pure-blood or half-blood (presumably),,,,,,,,,,,,,,mellona-flume,['Mel (by Fatima Al-Eryani)'],,,Between 1 September 1994 and 31 August 1995,,Dark blue,"['Ambrosius Flume (grandfather)', 'Grandmother', 'Flume family']",Blonde,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Melody Fawley,Female,,,,,Human,"Pure-blood, half-blood or Squib",,,,,,,,,,,,,,melody-fawley,[],,,Between 2006 and 2015,,,"['Grim Fawley (father)', 'Penelope Fawley (mother)', 'Addison Fawley (twin brother)', 'Lucretia Fawley (paternal grandmother) †', 'Marshall Fawley (paternal grandfather) †', 'Maternal grandfather', 'Maternal grandmother', 'Fawley family']",,,[],,British,[],,[],[],,,,,,,,,,
Melusine,Female,,,,,Human,,,,,,,,,,,,,,,melusine,[],,,Before 1927,,,[],,,['Archivist of the French Ministry of Magic Records Room'],,French,[],,[],[],,,,,,,,,,
Melvin Catterick,Male,,Hufflepuff,,,Human,,,,,,,,,,,,,,,melvin-catterick,[],,,31 August 1982 or earlier,,,[],Black,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Melvin Godfrey,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,melvin-godfrey,[],,,,,,[],,,['Orchestra conductor'],,,[],,[],[],,,,,,,,,,
M. Emmanuelli,,,,,,Human,,,,,,,,,,,,,,,m-emmanuelli,[],,,Before the 1920s,,,[],,,['Landlord'],,French,[],,[],[],,,,,,,,,,
Mentor Metaxas,Male,,,,,Human,,,,,,,,,,,,,,,mentor-metaxas,['International Director'],,,,,,[],,,['International Director of the International Confederation of Wizards Quidditch Committee'],,Greek,[],,[],[],,,,,,,,,,
Mercy Lewis,Female,,,,,Human,,,,,,,,,,,,,,,mercy-lewis,[],,,1674 or 1675,18th century,,[],,,[],,,[],,[],[],,,,,,,,,,
Mercy Ojukwu,Female,,,,,Human,,,,,,,,,,,,,,,mercy-ojukwu,[],,,"After 1976, Nigeria (possibly)",,,[],,,['Beater for the Nigerian National Quidditch team'],,Nigerian,[],,['Beater'],[],,,,,,,,,,
Mercy Wardwell,Female,,,,,Human,,,,,,,,,,,,,,,mercy-wardwell,[],,,after 1976,,,[],,,['Chaser for the American National Quidditch team'],,,[],,['Chaser'],[],,,,,,,,,,
Merlin,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,merlin,['Prince of Enchanters'],,,c. 982 or later,Before 1988,Blue,[],White,,['Advisor to King Arthur and his court'],,British or Irish,[],Light,[],"['Unknown length and core, probably English oak wood']",,,,,,,,,,
Merope Riddle (née Gaunt),Female,,,,,Human,Pure-blood,,,,,,,,,,,,,,merope-riddle,[],,,Between summer and autumn of 1907,"31 December 1926 (aged 19), Wool's Orphanage, London, England, Great Britain",,"['Marvolo Gaunt (father) †', 'Morfin Gaunt (brother) †', 'Tom Riddle Senior (husband) †', 'Tom Riddle (son) †', 'Thomas Riddle (father-in-law) †', 'Mary Riddle (mother-in-law) †', 'Delphini (granddaughter)', 'Salazar Slytherin (paternal ancestor) †', 'Cadmus Peverell (paternal ancestor) †', 'House of Gaunt', 'Riddle family (in-laws/descendants)']",Dull,,[],Married (separated),British,['Tom Riddle Senior (separated husband) †'],Pale,[],"['Unknown length, wood and core']",,,,,,,,,,
Merqueen,Female,,,,,Selkie,,,,,,,,,,,,,,,merqueen,[],,,Before 1990,,Blue,[],White with dark blue tips,,['Queen of the Great Lake Selkie colony'],,,[],Grey,['Merqueen'],[],,,,,,,,,,
Merton Graves,Male,,,,,Human,,,,,,,,,,,,,,,merton-graves,[],,,1978,,Brown,"['Gondulphus Graves (possibly)', 'Percival Graves (possibly)', 'Graves family']",Brown,,['Cellist for the Weird Sisters'],,,[],White,[],[],,,,,,,,,,
Merula Snyde,Female,,Slytherin,,Non-corporeal,"Human, Flobberworm (briefly), Puffskein (briefly), Half-human/half-frog (briefly)",Pure-blood or half-blood,,,,,,,,,,,,,,merula-snyde,"['The Most Powerful Witch at Hogwarts (by herself)', 'Murtrula (by Rowan Khanna)', 'The Most Powerful Stirrer at Hogwarts (by herself)', 'The Most Delicious Witch at Hogwarts (by herself)', 'The Most Powerful Snyde (by herself)', ""The Most Powerful Puffskein at Hogwarts (by Jacob's sibling)"", 'Merula Goldenhands', 'The Creature from the Black Lake']",,,Between 1 September 1972 and 31 August 1973,,"Unknown natural eye colour, Lavender (using the Colour Change Charm)","['Father', 'Mother', 'Verucca Buckthorn-Snyde (maternal aunt)', 'Snyde family']","Brown with an orange patch (as a teenager), Brown with a pink patch (during Valentine's Day), Brown with an orange patch and bleached tips (as an adult)",,"['Barmaid at the Three Broomsticks Inn (formerly)', ""Employee at Zonko's Joke Shop(formerly)"", ""Barmaid at the Hog's Head Inn(formerly)"", 'Employee of Department of Magical Maintenance']",,British or Irish,"[""Jacob's sibling (possibly subconsiously)""]","White, Gold (temporarily)",[],"['Unknown length, wood and core']",,,,,,,,,,
Merula Snyde's father,Male,,Slytherin,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,merula-snyde-s-father,[],,,1950s or earlier (most likely),,,"['Wife', 'Merula Snyde (daughter)', 'Verucca Buckthorn-Snyde (sister-in-law)', 'Snyde family']",,,[],Married,British or Irish,[],,[],[],,,,,,,,,,
Merula Snyde's International Confederation of Wizards Challenge teammate,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,merula-snyde-s-international-confederation-of-wizards-challenge-teammate,[],,,Between 1 September 1970 and 31 August 1976,,,[],Brown,,[],,British or Irish,[],Light,[],"['Unknown length, wood and core']",,,,,,,,,,
Merula Snyde's mother,Female,,Slytherin,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,merula-snyde-s-mother,[],,,1950s or earlier (most likely),,,"['Verucca Buckthorn-Snyde (sister)', 'Husband', 'Merula Snyde (daughter)', 'Snyde family']",,,[],Married,British or Irish,[],,[],[],,,,,,,,,,
Merula Snyde's mother's unicorn,,,,,,Unicorn,,,,,,,,,,,,,,,merula-snyde-s-mother-s-unicorn,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Mervyn Fenwick,Male,,,,,Human,,,,,,,,,,,,,,,mervyn-fenwick,[],,,,,,"['Benjy Fenwick (possible relative)', 'Marcus Fenwick (possible relative)', 'Robbie Fenwick (possible relative)']",,,['Keeper for the Tutshill Tornados'],,,[],,['Keeper'],[],,,,,,,,,,
Mervyn Wynch,Male,,,,,Human,,,,,,,,,,,,,,,mervyn-wynch,[],,,Between 1 September 1975 and 31 August 1978,,,[],,,[],,British or Irish,[],,['Prefect'],[],,,,,,,,,,
Merwyn the Malicious,Male,,,,,Human,,,,,,,,,,,,,,,merwyn-the-malicious,[],,,962 or later,Before 1993,White,[],,,[],,,[],Pale,[],"['Unknown length, wood and core']",,,,,,,,,,
M. Foremandium,,,,,,Human,,,,,,,,,,,,,,,m-foremandium,[],,,,,,[],,,['Reporter for The New York Ghost'],,American,[],,[],[],,,,,,,,,,
M. G. McGonagall,,,Gryffindor,,,Human,,,,,,,,,,,,,,,m-g-mcgonagall,[],,,Between 1 September 1952 and 31 August 1960,,,"['William McGonagall (possible relative)', 'Possible relative', 'Possible relative', 'Robert McGonagall Senior (possible relative)', 'Isobel McGonagall (née Ross) (possible relative)', 'Minerva McGonagall (possible relative)', 'Malcolm McGonagall (possible relative)', 'Robert McGonagall Junior (possible relative)', 'Possible relatives', 'McGonagall family']",,,[],,British or Irish,[],,[],[],,,,,,,,,,
Michael,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,michael,[],,,Between 1 September 1983 and 31 August 1984 (most likely),,Brown,['Female escort (possibly)'],Blond,,[],,British or Irish,[],White,[],[],,,,,,,,,,
Michael Babatola,Male,,,,,Human,Muggle,,,,,,,,,,,,,,michael-babatola,[],,,,,Brown,[],Dark brown,,"[""Nurse at St. David's Hospital""]",,British,[],Dark,[],[],,,,,,,,,,
Michael Corner,Male,,Ravenclaw,,Non-corporeal,Human,Half-blood,,,,,,,,,,,,,,michael-corner,[],,,Between 1 September 1979 and 21 April 1980,,,[],Dark,,[],,British or Irish,"['Ginny Weasley', 'Cho Chang']",,[],[],,,,,,,,,,
Michael Frimley,Male,,Hufflepuff,,,Human,,,,,,,,,,,,,,,michael-frimley,[],,,31 August 1982 or earlier,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Michael Karume,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,michael-karume,[],,,31 August 1982 or earlier,,Brown,[],Black,,[],,British or Irish,[],Dark,[],[],,,,,,,,,,
Michael McManus,Male,,Hufflepuff,,,Human,,,,,,,,,,,,,,,michael-mcmanus,[],,,31 August 1981 or earlier,,,[],,,[],,British or Irish,[],,['Beater'],[],,,,,,,,,,
Michael Robinson,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,michael-robinson,[],,,31 August 1982 or earlier,,Green,[],Red,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Michael's escort at King's Cross Station,Female,,,,,Human,,,,,,,,,,,,,,,michael-s-escort-at-king-s-cross-station,[],,,,,,['Michael (possibly)'],Brown,,[],,British or Irish,[],White,[],[],,,,,,,,,,
Michaelus Bacca,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,michaelus-bacca,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Midas Gullveig,Male,,Slytherin,,,Human,Pure-blood,,,,,,,,,,,,,,midas-gullveig,[],,,"Before 31 August 1979, Grimsby, Lincolnshire, England, Great Britain",,,[],Grey with black streaks,,"['Entrepreneur', 'Loan shark']",,English,[],Pale,[],"[""13¼', maple, phoenix feather""]",,,,,,,,,,
Midas Gullveig's Dementor,Male,,,,,Dementor,,,,,,,,,,,,,,,midas-gullveig-s-dementor,[],,,Amortal,Amortal,,[],,,[],,,[],,[],[],,,,,,,,,,
Midas's daughter,Female,,,,,Human,,,,,,,,,,,,,,,midas-s-daughter,[],,,,,,['Midas (father)'],,,[],,Greek,[],,[],[],,,,,,,,,,
Middle-aged Muggle man,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-balding-muggle,[],,,Long before 1997,,,['Wife'],"Grey, Balding",,[],Married,,['Wife'],,[],[],,,,,,,,,,
Middle-aged Muggle man's wife,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-balding-muggle-s-wife,[],,,Long before 1997,,,['Husband'],Grey,Small,[],Married,,['Husband'],,[],[],,,,,,,,,,
Midwife,,,,,,Human,,,,,,,,,,,,,,,alice-longbottom-s-midwife,[],,,,,,[],,,['Midwife'],,,[],,[],[],,,,,,,,,,
Mikal Darrius,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,mikal-darrius,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Mike Boon,Male,,Gryffindor,,,Human,,,,,,,,,,,,,,,mike-boon,[],,,Between 1701 and 1705,,,[],,,[],,British or Irish,[],,['Captain'],[],,,,,,,,,,
Mikel Bhas,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,mikel-bhas,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Mike Maloney,Male,,,,,,Muggle,,,,,,,,,,,,,,mike-maloney,[],,,,,,[],,,['Chief Reporter'],,,[],,[],[],,,,,,,,,,
Mildred,Female,,,,,Human,,,,,,,,,,,,,,,mildred-1990s,[],,,Before 1990,,,['Cousin'],,,[],,English,[],,[],[],,,,,,,,,,
Mildred,Female,,,,,Human,No-Maj,,,,,,,,,,,,,,mildred-1920s,[],,,,,Blue,[],Blonde,,[],,American,['Jacob Kowalski (ex-fiancé)'],Light,[],[],,,,,,,,,,
Mildred,Female,,,,,Human,,,,,,,,,,,,,,,mildred-19th-century,['Aunt Mildred'],,,,,,['Nephew or niece'],,,[],,,[],,[],[],,,,,,,,,,
Mildred,,,,,,Owl,,,,,,,,,,,,,,,mildred-owl,[],,,Before 1 September 1993,,,[],,,[],,,[],,[],[],,,,,,,,,,
Mildred Banks,Female,,,,,Human,,,,,,,,,,,,,,,mildred-banks,[],,,Between 1 September 1995 and 31 August 1997,,Grey,['Zebra Banks (possibly)'],Grey,,[],,British or Irish,[],"Light, Green (temporarily)",[],[],,,,,,,,,,
Mildred Peebles,Female,,Slytherin,,,Human,,,,,,,,,,,,,,,mildred-peebles,[],,,31 August 1982 or earlier,,Green,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Mildred's niece or nephew,,,,,,Human,,,,,,,,,,,,,,,mildred-s-niece-or-nephew,[],,,Between 1 September 1872 and 31 August 1879,,,['Mildred (aunt)'],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Miles Bletchley,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,miles-bletchley,[],,,c. 1977-1979,,,"['Bletchley (possibly)', 'Kevin Bletchley (possibly)', 'Madame Bletchley (possibly)', 'Bletchley family']",,,[],,British or Irish,[],,['Keeper'],[],,,,,,,,,,
Milford Vessel,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,milford-vessel,[],,,,,,[],,,['Actor'],,,[],,[],[],,,,,,,,,,
Milles,Female,,,,,Human,,,,,,,,,,,,,,,milles,[],,,Before the 1920s,,,[],,,['Landlord'],,French,[],,['Madame'],[],,,,,,,,,,
Millford Quisling,Male,,,,,Human,,,,,,,,,,,,,,,millford-quisling,[],,,,,,[],,,['Magical theoretician'],,,[],,[],[],,,,,,,,,,
Millicent Bagnold,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,millicent-bagnold,[],,,Before 1963,,Grey,[],Brown,,['Minister for Magic (1980–1990)'],,British or Irish,[],White,['Minister for Magic'],"['Unknown wood, length and core']",,,,,,,,,,
Millicent Bulstrode,Female,,Slytherin,,,Human,Half-blood,,,,,,,,,,,,,,millicent-bulstrode,[],,Lord Voldemort,Between 1 September 1979 and 31 August 1980,,,"['Violetta Black (née Bulstrode) (possible relative)', 'Vulpecula Bulstrode (possible relative)', 'Bulstrode family']",Black,,[],,British or Irish,[],,[],"['Unknown length, wood and core']",,,,,,,,,,
Millicent Bulstrode's cat,,,,,,Cat,,,,,,,,,,,,,,,millicent-bulstrode-s-cat,[],,,Pre 1992,,,[],Black,,[],,,[],,[],[],,,,,,,,,,
Millie Gudabi,Female,,,,,Human,,,,,,,,,,,,,,,millie-gudabi,[],,,"Before 1977, Australia (possibly)",,Green,[],Blonde,,"['Keeper for the Thundelarra Thunderers (formerly)', 'Quidditch commentator']",,Australian,[],White,['Keeper (formerly)'],[],,,,,,,,,,
Milly,Female,,,,,Kneazle,,,,,,,,,,,,,,,milly,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Milo,Male,,,,,Human,,,,,,,,,,,,,,,milo,[],,,,Prior to 1890,,['Daughter'],,,[],,British,[],,[],[],,,,,,,,,,
Milo Farrell,Male,,Hufflepuff,,,Human,Pure-blood,,,,,,,,,,,,,,milo-farrell,[],,,Before 1 September 1977,,Brown,"['Brother or brother-in-law', 'Zola Farrell (wife)', 'Kevin Farrell (son)', 'Farrell family']",Brown,,['Enchanter of broomsticks'],Married,British or Irish,['Zola Farrell (wife)'],White,[],"[""11¾', Yew, phoenix feather""]",,,,,,,,,,
Milo's daughter,Female,,,,,Human,,,,,,,,,,,,,,,milo-s-daughter,[],,,,,,['Milo (father)'],,,[],,British,[],,[],[],,,,,,,,,,
Mimi Erland,Female,,,,,,,,,,,,,,,,,,,,mimi-erland,[],,,,,,['Jacob Erland (unknown)'],,,[],,,[],,[],[],,,,,,,,,,
Minaka Hirakata,Female,,,,,Human,,,,,,,,,,,,,,,minaka-hirakata,[],,,"before 1977, Japan (possibly)",,,[],Electric blue,,['Beater for the Japanese National Quidditch team'],,Japanese,[],Pale,['Beater'],[],,,,,,,,,,
Mina Kaur,Female,,,,,Human,,,,,,,,,,,,,,,mina-kaur,[],,,20th century,,,[],Black,,['Seeker for the Indian National Quidditch team'],,Indian,[],Bronze,['Seeker'],[],,,,,,,,,,
Mina Lima,Female,,,,,Human,,,,,,,,,,,,,,,mina-lima,['Stubby Boardman (allegedly)'],,,,,,['Edwardus Lima (possibly)'],,,[],,,[],,[],[],,,,,,,,,,
Minas,,,,,,Human,,,,,,,,,,,,,,,minas,[],,,before 1978,,,[],,,"[""'Top Ministry job' in Cyprus""]",,,[],,[],[],,,,,,,,,,
Minerva,Female,,,,,Human,,,,,,,,,,,,,,,minerva,[],,,Before 1892,,,"['Son or son-in-law', 'Daughter or daughter-in-law', 'Isobel McGonagall (née Ross) (granddaughter)', 'Ms Ross (possible relative)', 'M. G. McGonagall (possible relative)']",,,[],,,[],,[],[],,,,,,,,,,
Minerva McGonagall,Female,,Gryffindor,,Cat,Human,Half-blood,,,,,,,,,,,,,,minerva-mcgonagall,[],Tabby cat (registered),Lord Voldemort,"4 OctoberCaithness, Scotland, Great Britain",,,"['Robert McGonagall Senior (father)', 'Isobel McGonagall (née Ross) (mother)', 'Malcolm McGonagall (younger brother)', 'Robert McGonagall Junior (younger brother) †', 'Elphinstone Urquart (husband) †', 'Nieces and nephews', 'Paternal grandfather', 'Paternal grandmother', 'Maternal grandfather', 'Maternal grandmother', 'William McGonagall (possible relative)', 'M. G. McGonagall (possible relative)', 'McGonagall family', 'Ross family (maternal family)', 'Urquart family (in-laws)']",Black,,"['Department of Magical Law Enforcement employee', 'Professor of Transfiguration at Hogwarts School of Witchcraft and Wizardry', 'Head of the Transfiguration department at Hogwarts School of Witchcraft and Wizardry (?–1998)', 'Head of Gryffindor House (pre 1975–1998)', 'Deputy Headmistress of Hogwarts School of Witchcraft and Wizardry (?–1998)', 'Headmistress of Hogwarts School of Witchcraft and Wizardry (1998–at least 2020)']",Widowed,Scottish,"['Dougal McGregor (ex-fiancé) †', 'Elphinstone Urquart (late husband) †']",,"['Prefect', 'Head Girl', 'Madam', 'Professor', 'Head of Transfiguration (formerly)', 'Head of Gryffindor (formerly)', 'Deputy Headmistress (formerly)', 'Headmistress']","[""9½', Fir, dragon heartstring""]",,,,,,,,,,
Minerva McGonagall's hornbill,Male,,,,,"Hornbill, Water goblet (briefly)",,,,,,,,,,,,,,,minerva-mcgonagall-s-hornbill,[],,,Pre 1992,,,[],,,[],,,[],,[],[],,,,,,,,,,
Minerva McGonagalls nieces and nephews,Males and females,,,,,Humans,Half-blood or Squib,,,,,,,,,,,,,,minerva-mcgonagall-s-nieces-and-nephews,[],,,Before 1982,,,"['Malcolm McGonagall (father; paternal uncle)', 'Robert McGonagall Junior (father; paternal uncle)', 'Minerva McGonagall (paternal aunt)', 'Elphinstone Urquart (paternal uncle by marriage)', 'Robert McGonagall Senior (paternal grandfather)', 'Isobel McGonagall (née Ross) (paternal grandmother)', 'William McGonagall (possible relative)', 'M. G. McGonagall (possible relative)', 'McGonagall family']",,,[],,,[],,[],[],,,,,,,,,,
Minette Lestrange (née Rosier),Female,,,,,Human,Pure-blood,,,,,,,,,,,,,,minette-rosier,[],,,,,,"['Corvus Lestrange (II) (husband)', 'Manon Perrot (née Lestrange) (daughter)', 'Josette Gage (née Lestrange) (daughter)', 'Corvus Lestrange (III) (son)', 'Corvus Lestrange (I) (father-in-law)', 'Heloise Lestrange (née Beaufort) (mother-in-law)', 'Falco Lestrange (brother-in-law)', 'Salomé Lestrange (née Volant) (sister-in-law)', 'Eglantine Lestrange (niece/daughter-in-law)', 'Leonie Tremblay (née Lestrange) (niece)', 'Sebastien Perrot (son-in-law)', 'Reynard Gage (son-in-law)', 'Odile Perrot (granddaughter)', 'Laurelle Perrot (granddaughter)', 'Huguette Perrot (granddaughter)', 'Mathis Gage (grandson)', 'Louis Gage (grandson)', 'Corvus Lestrange (IV) (grandson)', 'Vinda Rosier (possible relative)', 'Possible relative', 'Druella Black (née Rosier) (possible relative)', 'Possible relative', 'Evan Rosier (possible relative) †', 'Felix Rosier (possible relative)', 'Rosier family', 'Lestrange family (in-laws/descendants)']",,,[],Married,French,['Corvus Lestrange (II) (husband)'],,[],[],,,,,,,,,,
Minister for Magic Support Staff official,Male,,,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,minister-for-magic-support-staff-official,[],,,,,,[],,,['British Ministry of Magic Official'],,,[],Pale,[],[],,,,,,,,,,
Ministry guard,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-ministry-guard,[],,,,,,[],,,['Security guard at the British Ministry of Magic'],,British,[],,[],[],,,,,,,,,,
